arm,decision_interval_ms,maximum_holding_seconds,signals,trades,longs,shorts,net_usd,profit_factor,win_rate,maximum_drawdown_usd,mean_holding_seconds,direction_reversals,max_entries_one_minute
candidate_1,250,15,1016,789,392,397,-4559.1,0.3329480445374338,0.2991128010139417,4585.700000000023,5.300515405576679,351,12
candidate_2,250,15,1185,669,324,345,-3825.6000000000004,0.30143890146811764,0.28101644245142005,3837.700000000045,6.3295066536621825,355,13
candidate_3,250,15,90,49,0,49,-295.59999999999997,0.19826417141307304,0.22448979591836735,323.99999999999994,6.963159371428572,0,6
matched_random,250,15,1185,596,283,313,-3402.8999999999996,0.3067897084886633,0.28523489932885904,3402.9000000000347,6.416303903859061,308,11
candidate_1,250,60,1016,766,386,380,-4484.9,0.3532482514961423,0.30156657963446476,4497.900000000029,6.423012729503917,343,12
candidate_2,250,60,1185,625,308,317,-3627.5,0.33872320256672006,0.3056,3627.500000000041,8.1768571952,342,13
candidate_3,250,60,90,44,0,44,-306.5999999999999,0.20999742334449886,0.22727272727272727,343.99999999999994,10.571873918181819,0,6
matched_random,250,60,1185,545,261,284,-3193.0,0.3352486831969686,0.30825688073394497,3193.00000000003,7.939836277064218,276,11
candidate_1,250,180,1016,765,386,379,-4457.0,0.3558038359807477,0.3032679738562091,4470.000000000031,6.45263542745098,343,12
candidate_2,250,180,1185,620,306,314,-3550.5,0.3502013177159589,0.3064516129032258,3550.5000000000405,8.246037871129033,341,13
candidate_3,250,180,90,42,0,42,-268.29999999999995,0.29801151229722667,0.21428571428571427,296.6000000000001,10.605633647619047,0,6
matched_random,250,180,1185,536,256,280,-3059.9000000000005,0.3501465403729345,0.31156716417910446,3059.900000000029,8.09567388022388,270,11
candidate_1,1000,15,677,636,313,323,-3715.3999999999996,0.3052989790957705,0.279874213836478,3728.500000000041,5.7733683323899365,293,8
candidate_2,1000,15,625,536,269,267,-3012.4,0.31369466657553585,0.2873134328358209,3025.5000000000305,6.791605209141791,291,8
candidate_3,1000,15,41,32,0,32,-244.3,0.1321492007104796,0.21875,246.9000000000001,7.892024671874999,0,5
matched_random,1000,15,625,497,260,237,-2752.3,0.3171149265581579,0.3038229376257545,2765.4000000000287,6.80367042414487,251,7
candidate_1,1000,60,677,621,306,315,-3704.8999999999996,0.3326428417032926,0.29307568438003223,3704.90000000004,7.508241960064412,288,8
candidate_2,1000,60,625,516,258,258,-2832.9000000000005,0.3682203389830507,0.312015503875969,2832.90000000003,8.983036559302326,278,8
candidate_3,1000,60,41,31,0,31,-260.4,0.16672,0.1935483870967742,268.00000000000006,13.231072190322584,0,5
matched_random,1000,60,625,469,249,220,-2590.1,0.3677748486623705,0.32409381663113007,2590.1000000000267,9.030427880383796,237,7
candidate_1,1000,180,677,620,306,314,-3722.5,0.33210729344218165,0.2903225806451613,3722.50000000004,7.600645387903226,288,8
candidate_2,1000,180,625,509,256,253,-2767.1000000000004,0.37673716692569303,0.3163064833005894,2775.2000000000294,9.182880108840864,275,8
candidate_3,1000,180,41,29,0,29,-245.10000000000005,0.20576798444588462,0.1724137931034483,245.1000000000001,13.679949020689655,0,5
matched_random,1000,180,625,463,248,215,-2532.2000000000003,0.37464190457374286,0.32397408207343414,2532.200000000026,9.263484004535638,236,7
candidate_1,5000,15,380,379,174,205,-2175.6000000000004,0.31077741874168396,0.3034300791556728,2212.1000000000145,7.188679035620054,183,4
candidate_2,5000,15,313,311,150,161,-1739.8999999999999,0.2975209948320413,0.3022508038585209,1753.5000000000107,7.263224952090032,183,4
candidate_3,5000,15,13,13,0,13,-128.70000000000002,0.0046403712296983765,0.07692307692307693,128.70000000000002,7.106853015384615,0,2
matched_random,5000,15,313,307,159,148,-1546.3,0.3539586379778566,0.3322475570032573,1549.5000000000075,7.638595864169381,149,4
candidate_1,5000,60,380,375,174,201,-2156.0,0.3575302461410093,0.31466666666666665,2196.4000000000156,9.8994515856,181,4
candidate_2,5000,60,313,306,148,158,-1635.8999999999999,0.37165354330708644,0.3300653594771242,1635.9000000000065,10.38233017254902,177,4
candidate_3,5000,60,13,13,0,13,-137.70000000000002,0.00792507204610951,0.07692307692307693,137.70000000000002,12.322730323076923,0,2
matched_random,5000,60,313,299,154,145,-1411.6000000000001,0.43004804780554734,0.35451505016722407,1436.9000000000028,10.94174895652174,144,4
candidate_1,5000,180,380,372,174,198,-2184.8,0.35126789001722175,0.30913978494623656,2204.5000000000155,9.929967915591398,181,4
candidate_2,5000,180,313,304,148,156,-1582.1,0.3869492773278566,0.33223684210526316,1590.700000000006,10.607488082236843,177,4
candidate_3,5000,180,13,12,0,12,-105.30000000000003,0.15692554043234588,0.08333333333333333,105.30000000000001,13.035748550000001,0,2
matched_random,5000,180,313,296,153,143,-1379.4,0.440314858394871,0.3614864864864865,1421.5000000000027,11.386794616554054,142,4
candidate_1,10000,15,297,297,129,168,-1768.2999999999997,0.275939726476128,0.265993265993266,1788.4000000000083,7.411894256565655,151,2
candidate_2,10000,15,203,203,99,104,-1374.2000000000003,0.20726853187193536,0.23645320197044334,1406.700000000003,7.74427791133005,109,2
candidate_3,10000,15,8,8,0,8,-59.2,0.0,0.0,59.199999999999996,10.5164210875,0,1
matched_random,10000,15,203,203,105,98,-1474.2000000000003,0.18619928236268285,0.21182266009852216,1494.3000000000038,7.6989589581280775,99,2
candidate_1,10000,60,297,293,128,165,-1724.6999999999998,0.33762193716875316,0.310580204778157,1724.7000000000055,10.444754938907849,151,2
candidate_2,10000,60,203,199,98,101,-1400.1,0.2586572063962723,0.25125628140703515,1412.5000000000023,11.720206285427134,107,2
candidate_3,10000,60,8,8,0,8,-50.7,0.3185483870967742,0.25,50.699999999999996,24.0630599125,0,1
matched_random,10000,60,203,197,103,94,-1489.8000000000002,0.2324179504353651,0.233502538071066,1489.8000000000031,11.326051206598986,97,2
candidate_1,10000,180,297,291,128,163,-1702.8999999999996,0.34273804469489355,0.30927835051546393,1702.9000000000053,10.973436181099656,151,2
candidate_2,10000,180,203,195,96,99,-1375.5,0.2636115423737887,0.2512820512820513,1409.5000000000014,12.376546716923077,107,2
candidate_3,10000,180,8,7,0,7,-37.3,0.3885245901639345,0.2857142857142857,37.3,27.214617185714282,0,1
matched_random,10000,180,203,195,103,92,-1479.0,0.23845322074043562,0.2358974358974359,1488.1000000000029,11.855865686666668,97,2
